rowid,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
155,1935,Mercedes Knight (Earth-616),\/Mercedes_Knight_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,259,Mar-72,1972
156,2060,Moira Kinross (Earth-616),\/Moira_Kinross_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,259,Dec-75,1975
157,1915,Karnak (Earth-616),\/Karnak_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,257,Dec-65,1965
158,2204,Namorita Prentiss (Earth-616),\/Namorita_Prentiss_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,257,Jun-72,1972
159,2038,Lockjaw (Earth-616),\/Lockjaw_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,255,Dec-65,1965
160,1029,Adam Warlock (Earth-616),\/Adam_Warlock_(Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,,Living Characters,252,Sep-67,1967
161,2407,Heather McNeil (Earth-616),\/Heather_McNeil_(Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,252,Nov-80,1980
162,2034,Curtis Connors (Earth-616),\/Curtis_Connors_(Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,,Living Characters,250,Nov-63,1963
163,2097,Theodore Sallis (Earth-616),\/Theodore_Sallis_(Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,,Living Characters,249,May-71,1971
164,2421,Adrian Toomes (Earth-616),\/Adrian_Toomes_(Earth-616),Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,,Living Characters,248,May-63,1963
165,1514,Amora (Earth-616),\/Amora_(Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,247,Apr-64,1964
166,1335,Clea (Earth-616),\/Clea_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,247,Nov-64,1964
167,1289,Mar-Vell (Earth-616),\/Mar-Vell_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,245,Dec-67,1967
168,2309,Eugene Judd (Earth-616),\/Eugene_Judd_(Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,245,Aug-83,1983
169,1813,Daimon Hellstrom (Earth-616),\/Daimon_Hellstrom_(Earth-616),No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,,Living Characters,242,Sep-73,1973
170,76396,John Jonah Jameson III (Earth-616),\/John_Jonah_Jameson_III_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,,Living Characters,240,Mar-63,1963
171,2497,Triton (Earth-616),\/Triton_(Earth-616),No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,,Living Characters,240,Dec-65,1965
172,2138,Meggan Puceanu (Earth-616),\/Meggan_Puceanu_(Earth-616),Secret Identity,Good Characters,,,Female Characters,,Living Characters,240,Dec-83,1983
173,6517,Robert Reynolds (Earth-616),\/Robert_Reynolds_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,240,Sep-00,2000
174,2351,Aleksei Sytsevich (Earth-616),\/Aleksei_Sytsevich_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,239,Oct-66,1966
175,15903,Santo Vaccarro (Earth-616),\/Santo_Vaccarro_(Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,,Living Characters,238,Sep-03,2003
176,2335,Jonathan Clay (Earth-616),\/Jonathan_Clay_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Homosexual Characters,Living Characters,237,Aug-60,1960
177,1095,Ares (Earth-616),\/Ares_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,236,Apr-49,1949
178,2523,Sersi (Earth-616),\/Sersi_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,236,Sep-76,1976
179,2617,Guido Carosella (Earth-616),\/Guido_Carosella_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,,Living Characters,236,Jul-85,1985
180,1533,Zabu (Earth-616),\/Zabu_(Earth-616),Public Identity,Good Characters,Green Eyes,Orange Hair,Male Characters,,Living Characters,234,Mar-65,1965
181,2186,Michael Morbius (Earth-616),\/Michael_Morbius_(Earth-616),Secret Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,231,Oct-71,1971
182,2353,Julio Richter (Earth-616),\/Julio_Richter_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Living Characters,231,Jun-87,1987
183,15511,Phoenix Force (Earth-616),\/Phoenix_Force_(Earth-616),Secret Identity,Neutral Characters,,No Hair,,,Deceased Characters,229,Oct-76,1976
184,15907,Megan Gwynn (Earth-616),\/Megan_Gwynn_(Earth-616),Public Identity,Good Characters,Black Eyeballs,Pink Hair,Female Characters,,Living Characters,229,Nov-04,2004
185,2724,Kyle Richmond (Earth-616),\/Kyle_Richmond_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,,Living Characters,227,Oct-69,1969
186,1911,Karen Page (Earth-616),\/Karen_Page_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,226,Apr-64,1964
187,1336,Tyrone Johnson (Earth-616),\/Tyrone_Johnson_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,226,Mar-82,1982
188,1503,Maxwell Dillon (Earth-616),\/Maxwell_Dillon_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,225,Feb-64,1964
189,1356,Valerie Cooper (Earth-616),\/Valerie_Cooper_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,225,Dec-83,1983
190,8844,Anna May (Earth-616),\/Anna_May_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,224,Aug-64,1964
191,1471,Vlad Dracula (Earth-616),\/Vlad_Dracula_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,White Hair,Male Characters,,Living Characters,223,Mar-51,1951
192,1389,Tandy Bowen (Earth-616),\/Tandy_Bowen_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,222,Mar-82,1982
193,2054,Monet St. Croix (Earth-616),\/Monet_St._Croix_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,221,Nov-94,1994
194,1684,Gamora (Earth-616),\/Gamora_(Earth-616),No Dual Identity,Neutral Characters,Yellow Eyes,Black Hair,Female Characters,,Living Characters,218,Jun-75,1975
195,10174,Amara Aquilla (Earth-616),\/Amara_Aquilla_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,217,Oct-83,1983
196,2590,Julia Carpenter (Earth-616),\/Julia_Carpenter_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,212,Oct-84,1984
197,1654,Jane Foster (Earth-616),\/Jane_Foster_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,211,Sep-62,1962
198,2482,Mortimer Toynbee (Earth-616),\/Mortimer_Toynbee_(Earth-616),Secret Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,,Living Characters,210,Mar-64,1964
199,1080,Scott Lang (Earth-616),\/Scott_Lang_(Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,209,Mar-79,1979
200,1840,Paige Guthrie (Earth-616),\/Paige_Guthrie_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,207,Nov-84,1984
201,8648,Benjamin Parker (Earth-616),\/Benjamin_Parker_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,205,Aug-62,1962
202,1117,Erik Josten (Earth-616),\/Erik_Josten_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,,Living Characters,204,Oct-65,1965
203,1122,Jeanne-Marie Beaubier (Earth-616),\/Jeanne-Marie_Beaubier_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,203,Apr-79,1979
204,1027,Carl Creel (Earth-616),\/Carl_Creel_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,202,Apr-64,1964
205,18854,Gloria Grant (Earth-616),\/Gloria_Grant_(Earth-616),No Dual Identity,,Brown Eyes,Black Hair,Female Characters,,Living Characters,202,Jan-75,1975
206,2528,Michael Twoyoungmen (Earth-616),\/Michael_Twoyoungmen_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,200,Apr-79,1979
207,119275,Hope Summers (Earth-616),\/Hope_Summers_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,200,Jan-08,2008
208,2470,Eric Masterson (Earth-616),\/Eric_Masterson_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,198,May-88,1988
209,1544,Alexander Power (Earth-616),\/Alexander_Power_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,197,Aug-84,1984
210,2501,Matthew Hawk (Earth-616),\/Matthew_Hawk_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,195,Nov-62,1962
211,1888,Jessica Jones (Earth-616),\/Jessica_Jones_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,195,Sep-63,1963
212,1215,Frederick Dukes (Earth-616),\/Frederick_Dukes_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,194,Jan-64,1964
213,1204,Eric Brooks (Earth-616),\/Eric_Brooks_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,194,Jul-73,1973
214,1523,Eros (Earth-616),\/Eros_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,193,Feb-73,1973
215,1232,Madison Jeffries (Earth-616),\/Madison_Jeffries_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,193,Aug-83,1983
216,2099,Mandarin (Earth-616),\/Mandarin_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,190,Feb-64,1964
217,2006,The Wizard (Earth-616),\/The_Wizard_(Earth-616),Public Identity,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,189,Nov-62,1962
218,51769,Akihiro (Earth-616),\/Akihiro_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Bisexual Characters,Living Characters,189,Oct-06,2006
219,1943,Sergei Kravinoff (Earth-616),\/Sergei_Kravinoff_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,188,Aug-64,1964
220,1315,Jonothon Starsmore (Earth-616),\/Jonothon_Starsmore_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,187,Nov-94,1994
221,1142,Helmut Zemo (Earth-616),\/Helmut_Zemo_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,184,Dec-73,1973
222,15901,Victor Borkowski (Earth-616),\/Victor_Borkowski_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,184,Aug-03,2003
223,4368,Edward Leeds (Earth-616),\/Edward_Leeds_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,181,Nov-64,1964
224,1576,Ultron (Earth-616),\/Ultron_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Deceased Characters,181,Jul-68,1968
225,1386,Douglas Ramsey (Earth-616),\/Douglas_Ramsey_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,181,Mar-84,1984
226,2715,Quentin Beck (Earth-616),\/Quentin_Beck_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,180,Jun-64,1964
227,1822,Herbert Wyndham (Earth-616),\/Herbert_Wyndham_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,179,Nov-66,1966
228,39324,Julian Keller (Earth-616),\/Julian_Keller_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,179,Aug-03,2003
229,1981,Jack Russell (Earth-616),\/Jack_Russell_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,178,Feb-72,1972
230,39972,Celeste Cuckoo (Earth-616),\/Celeste_Cuckoo_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,177,Nov-01,2001
231,1354,Valentina Allegra de Fontaine (Earth-616),\/Valentina_Allegra_de_Fontaine_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,176,Aug-67,1967
232,2065,Ophelia Sarkissian (Earth-616),\/Ophelia_Sarkissian_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,175,Feb-69,1969
233,1344,Colleen Wing (Earth-616),\/Colleen_Wing_(Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,,Living Characters,175,Nov-74,1974
234,57563,Irma Cuckoo (Earth-616),\/Irma_Cuckoo_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,175,Nov-01,2001
235,1184,Sebastian Shaw (Earth-616),\/Sebastian_Shaw_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,174,Jan-80,1980
236,57564,Phoebe Cuckoo (Earth-616),\/Phoebe_Cuckoo_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,174,Nov-01,2001
237,2376,Sage (Earth-616),\/Sage_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,172,Apr-80,1980
238,2115,Valeria Richards (Earth-616),\/Valeria_Richards_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,171,Feb-02,2002
239,194870,Donald Blake (Earth-616),\/Donald_Blake_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,170,Aug-62,1962
240,1809,Hela (Earth-616),\/Hela_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Deceased Characters,170,Mar-64,1964
241,2024,Lilandra Neramani (Earth-616),\/Lilandra_Neramani_(Earth-616),No Dual Identity,Good Characters,Orange Eyes,Black Hair,Female Characters,,Deceased Characters,170,Feb-76,1976
242,1760,Henry Gyrich (Earth-616),\/Henry_Gyrich_(Earth-616),No Dual Identity,Bad Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,170,Nov-77,1977
243,4877,Dwayne Taylor (Earth-616),\/Dwayne_Taylor_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,169,Dec-89,1989
244,7975,Harold Hogan (Earth-616),\/Harold_Hogan_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,166,Sep-63,1963
245,15257,Redwing (Earth-616),\/Redwing_(Earth-616),Public Identity,,Yellow Eyes,,Male Characters,,Living Characters,165,Sep-69,1969
246,1399,Christopher Powell (Earth-616),\/Christopher_Powell_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,165,Mar-91,1991
247,2178,Harvey Elder (Earth-616),\/Harvey_Elder_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,,Living Characters,164,Nov-61,1961
248,1140,Wolfgang von Strucker (Earth-616),\/Wolfgang_von_Strucker_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,164,Jan-64,1964
249,2015,Dirk Garthwaite (Earth-616),\/Dirk_Garthwaite_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,164,Jan-68,1968
250,2271,Pip Gofern (Earth-616),\/Pip_Gofern_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,163,Apr-75,1975
251,2428,Tony Masters (Earth-616),\/Tony_Masters_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,163,May-80,1980
252,19592,David Lieberman (Earth-616),\/David_Lieberman_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,,Deceased Characters,163,Nov-87,1987
253,1756,James Hudson (Earth-616),\/James_Hudson_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,161,Feb-78,1978
254,1874,Miles Warren (Earth-616),\/Miles_Warren_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,160,Dec-65,1965
255,1715,Kallark (Earth-616),\/Kallark_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blue Hair,Male Characters,,Living Characters,160,Oct-77,1977
256,1084,En Sabah Nur (Earth-616),\/En_Sabah_Nur_(Earth-616),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Deceased Characters,160,Jun-86,1986
257,2624,Shiro Yoshida (Earth-616),\/Shiro_Yoshida_(Earth-616),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,158,Jan-70,1970
258,2554,Silver Sablinova (Earth-616),\/Silver_Sablinova_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Silver Hair,Female Characters,,Deceased Characters,158,Jun-85,1985
259,5398,Elvin Haliday (Earth-616),\/Elvin_Haliday_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,158,Nov-90,1990
260,25255,James Bradley (Earth-616),\/James_Bradley_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,158,,
261,2168,Calvin Zabo (Earth-616),\/Calvin_Zabo_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,157,Dec-63,1963
262,1226,Frederick Myers (Earth-616),\/Frederick_Myers_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,157,Jul-66,1966
263,2105,Mantis (Earth-616),\/Mantis_(Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,156,Jun-73,1973
264,1057,Marlene Alraune (Earth-616),\/Marlene_Alraune_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,156,Jun-76,1976
265,1435,Rachel Leighton (Earth-616),\/Rachel_Leighton_(Earth-616),Secret Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,156,Oct-85,1985
266,119342,Veranke (Earth-616),\/Veranke_(Earth-616),No Dual Identity,Bad Characters,Green Eyes,Green Hair,Female Characters,,Deceased Characters,156,Jan-05,2005
267,2170,Nathaniel Essex (Earth-616),\/Nathaniel_Essex_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,155,Sep-87,1987
268,1450,Anthony Druid (Earth-616),\/Anthony_Druid_(Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Deceased Characters,153,Jun-61,1961
269,68280,Cassandra Lang (Earth-616),\/Cassandra_Lang_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,153,Apr-79,1979
270,1163,Beta Ray Bill (Earth-616),\/Beta_Ray_Bill_(Earth-616),No Dual Identity,Good Characters,White Eyes,No Hair,Male Characters,,Living Characters,153,Nov-83,1983
271,1958,Samuel Sterns (Earth-616),\/Samuel_Sterns_(Earth-616),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Deceased Characters,152,Dec-64,1964
272,1961,Leech (Earth-616),\/Leech_(Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,,Living Characters,152,Mar-84,1984
273,2422,Glenn Talbot (Earth-616),\/Glenn_Talbot_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,151,Nov-64,1964
274,15209,Bug (Earth-616),\/Bug_(Earth-616),Public Identity,Good Characters,Yellow Eyes,Green Hair,Male Characters,,Living Characters,151,Jan-79,1979
275,2494,Peter Petruski (Earth-616),\/Peter_Petruski_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,150,Jan-63,1963
276,2023,Julie Power (Earth-616),\/Julie_Power_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Pansexual Characters,Living Characters,150,Aug-84,1984
277,2067,Giuletta Nefaria (Earth-616),\/Giuletta_Nefaria_(Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Female Characters,,Living Characters,149,Jan-68,1968
278,41613,Robert Ralston (Earth-616),\/Robert_Ralston_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,148,May-63,1963
279,79494,Maximus (Earth-616),\/Maximus_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,147,Feb-66,1966
280,1287,Genis-Vell (Earth-616),\/Genis-Vell_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,147,Oct-93,1993
281,16501,Hisako Ichiki (Earth-616),\/Hisako_Ichiki_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,147,Oct-04,2004
282,1316,Dmitri Smerdyakov (Earth-616),\/Dmitri_Smerdyakov_(Earth-616),Secret Identity,Bad Characters,Variable Eyes,Variable Hair,Male Characters,,Living Characters,146,Mar-63,1963
283,9967,Eliot Franklin (Thunderball) (Earth-616),\/Eliot_Franklin_(Thunderball)_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,146,Nov-74,1974
284,2058,X-51 (Earth-616),\/X-51_(Earth-616),Known to Authorities Identity,Good Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,146,Jul-77,1977
285,2072,Madelyne Pryor (Earth-616),\/Madelyne_Pryor_(Earth-616),Public Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,146,Apr-83,1983
286,101355,Adolf Hitler (Earth-616),\/Adolf_Hitler_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,145,Sep-40,1940
287,2543,Herman Schultz (Earth-616),\/Herman_Schultz_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,145,Mar-67,1967
288,9819,Noriko Ashida (Earth-616),\/Noriko_Ashida_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,145,Jan-04,2004
289,2320,Chen Lu (Earth-616),\/Chen_Lu_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,144,Jun-63,1963
290,1933,Ulysses Klaw (Earth-616),\/Ulysses_Klaw_(Earth-616),Public Identity,Bad Characters,Red Eyes,Bald,Male Characters,,Deceased Characters,143,Aug-66,1966
291,15904,Cessily Kincaid (Earth-616),\/Cessily_Kincaid_(Earth-616),Secret Identity,Good Characters,Silver Eyes,Red Hair,Female Characters,,Living Characters,143,Aug-03,2003
292,5592,Kyle Gibney (Earth-616),\/Kyle_Gibney_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,142,Aug-83,1983
293,2727,Jack Monroe (Earth-616),\/Jack_Monroe_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,141,Dec-53,1953
294,2164,Madeline Joyce (Earth-616),\/Madeline_Joyce_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,140,Nov-43,1943
295,2175,George Tarleton (Earth-616),\/George_Tarleton_(Earth-616),Public Identity,Bad Characters,White Eyes,Brown Hair,Male Characters,,Living Characters,140,Sep-67,1967
296,1891,Jocasta (Earth-616),\/Jocasta_(Earth-616),No Dual Identity,Good Characters,Red Eyes,No Hair,Female Characters,,Living Characters,140,Aug-77,1977
297,2003,Peter Wisdom (Earth-616),\/Peter_Wisdom_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,140,Feb-95,1995
298,10309,Jeffrey Mace (Earth-616),\/Jeffrey_Mace_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,139,Dec-40,1940
299,39133,Aquaria Neptunia (Earth-616),\/Aquaria_Neptunia_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,139,May-47,1947
300,1475,Dragon Man (Earth-616),\/Dragon_Man_(Earth-616),No Dual Identity,Good Characters,Grey Eyes,No Hair,Male Characters,,Living Characters,139,Feb-65,1965
301,2577,Narya (Earth-616),\/Narya_(Earth-616),Secret Identity,Good Characters,White Eyes,Blond Hair,Female Characters,,Living Characters,138,Apr-79,1979
302,7991,Burglar (Earth-616),\/Burglar_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,137,Aug-62,1962
303,83811,Dino Manelli (Earth-616),\/Dino_Manelli_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,137,May-63,1963
304,1904,Peter Parker (Kaine) (Earth-616),\/Peter_Parker_(Kaine)_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,137,Dec-94,1994
305,2225,Nightmare (Earth-616),\/Nightmare_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,136,Jul-63,1963
306,2362,Ronan (Earth-616),\/Ronan_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,136,Aug-67,1967
307,1071,Thomas Halloway (Earth-616),\/Thomas_Halloway_(Earth-616),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,135,Oct-39,1939
308,18135,Jasper Sitwell (Earth-616),\/Jasper_Sitwell_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,134,May-66,1966
309,1352,Frank Payne (Earth-616),\/Frank_Payne_(Earth-616),Secret Identity,Neutral Characters,,Bald,Male Characters,,Living Characters,134,Jun-77,1977
310,2245,Paladin (Earth-616),\/Paladin_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,134,Jan-78,1978
